"id","id2","full_call","short_call","main","topic","class","subclass","matched_class","matched_subclass","matched_lowtopic","matched_hightopic","match_x","match_y","multimatch"
"loc.ark+=13960=t0000rq1s","","","","","","","","","","","","-","-","0"
"loc.ark+=13960=t01z4nt6s","23004875","LB1131.M73;LB1131.M73","LB1131","LB","1131","L","B","L","B","1101","1139","446.96484","164.14925","0"
"loc.ark+=13960=t03x8rr1h","11032211","LB1025.G88;LB1025.G88","LB1025","LB","1025","L","B","L","B","1025","1050.75","484.02557","44.95025","0"
"loc.ark+=13960=t03x90n1f","19016048","HB231.B92;HB231.B92","HB231","HB","231","H","B","H","B","1","3840","498.136144887218","132.330840639098","0"
"loc.ark+=13960=t04x5xs16","21021083","LB875.B5;LB875.B5","LB875","LB","875","L","B","L","","","","477.450583","102.1775434","0"
"loc.ark+=13960=t08w3hq6w","10031443","E431.E91;E431.E91","E431","E","431","E","","E","","415.6","440.5","249.52077","38.80597","0"
"loc.ark+=13960=t08w41t1d","17013701","LB1131.M5;LB1131.M5","LB1131","LB","1131","L","B","L","B","1101","1139","446.96484","164.14925","0"
"loc.ark+=13960=t09w16247","2001219","LC1081.W3;LC1081.W3","LC1081","LC","1081","L","C","L","","","","477.450583","102.1775434","0"
"loc.ark+=13960=t0gt6767n","7037164","LB1025.B15;LB1025.B15","LB1025","LB","1025","L","B","L","B","1025","1050.75","484.02557","44.95025","0"
"loc.ark+=13960=t0ht34f86","20009802","LB875.L45;LB875.L45","LB875","LB","875","L","B","L","","","","477.450583","102.1775434","0"
"loc.ark+=13960=t0jt0g540","6043529","LB1575.T23;LB1575.T23","LB1575","LB","1575","L","B","L","","","","477.450583","102.1775434","0"
"loc.ark+=13960=t0ks75410","3025764","PR5107.D6 1903;PR5106.D6 1903","PR5107","PR","5107","P","R","P","R","3991","5990","485.834151666667","41.223756","0"
